N,pair_id,member,p2,p3,p4,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,geometric_mean_logdet,harmonic_mean,minimum_singular_value,inverse_condition_number,low_tail_log_resolvent_lambda_0.02,low_tail_log_resolvent_lambda_0.05,low_tail_log_resolvent_lambda_0.10,low_tail_log_resolvent_lambda_0.20
8,10,A,0.9999999999999992,1.4306853938089774,2.1486747361799234,1.4435874372223088,0.4966268414568851,1.5587841753822789,0.42896533497672096,0.1458847794559592,1.605133270069817,0.017669831699943475,0.67642466017313,,,0.4374785854358342,0.11231421294551891,0.017669831699943475,0.011008326865703124,-1.5473961112501962,-1.3607919656836032,-1.1522556060250373,-0.8534725732472802
8,10,B,1.0,1.4306853938089779,2.148674736179925,1.4435874372223088,0.4966268414568851,1.5587634374566268,0.42896533497672096,0.14091096077572204,1.605133270069817,0.037391193065149333,0.6767241417332458,,,0.4783976851030531,0.1922121327316104,0.037391193065149333,0.023294759234242873,-1.4400335993683029,-1.3276027219389044,-1.1454700360048724,-0.8529955644146643
8,11,A,1.0,1.5936868863529163,2.7025502204054703,0.39422635624468993,1.8487021477246193,0.11994407197949365,0.2595987893948375,0.4415025652086057,0.240236699230472,1.0869927613902597,1.7061407876035244,,,0.5084093386781813,0.34482027086578665,0.11994407197949365,0.06488014963747443,-1.3472539535720178,-1.3190043533201439,-1.2338047232103304,-1.003363357431057
8,11,B,1.0,1.5936868863529163,2.7025502204054703,0.38550481405291853,1.8487021477246193,0.055253885255319775,0.2595987893948375,0.4261565261356937,0.29655834993814056,1.0875519561100897,1.7061407876035244,,,0.4703956554028619,0.2476053316490888,0.055253885255319775,0.02988793263605292,-1.490980309483847,-1.421271623143466,-1.2793074958095823,-1.0104740259308866
10,0,A,1.0000000000000004,1.243520327374743,1.692657345952647,1.26825740138174,0.9844493647508105,0.7191587278565805,0.0233256432760227,0.7650355988516684,0.67290397734619,1.7242843510880712,1.3274296273404331,0.7631503067404702,0.7409086925732012,0.6523323375358552,0.1892053485778451,0.0233256432760227,0.013527724276627328,-0.7988135198812788,-0.6792367894704263,-0.546131437899614,-0.37701461234492645
10,0,B,1.0000000000000002,1.243520327374743,1.692657345952647,1.6492485317042451,0.7978594849188372,0.6673044658404018,0.048445664008778797,0.7650355988516684,1.064203054199245,0.9724470373570789,1.5495006810434608,0.7631503067404702,0.7409086925732012,0.7030610056083528,0.3270058521670295,0.048445664008778797,0.029374386623656802,-0.6884145770864989,-0.6291594000757428,-0.5269000284809988,-0.3696375630756272
10,1,A,0.9999999999999998,1.858644747290817,4.063471283554962,1.289108468627546,0.7118546496139528,0.5426611213108794,0.6264180117897731,0.8063559007932579,0.388038755198862,0.09888991879986837,0.5120747740488167,0.021047079966404907,2.464011974756984,0.4374007940218789,0.14405001161116726,0.021047079966404907,0.008541792889817712,-1.5846335262922255,-1.436537020268043,-1.247083747409325,-0.9628624139378352
10,1,B,1.0,1.858644747290817,4.063471283554962,1.289108468627546,0.6896343828034911,0.5247034523658018,0.6649630334450525,0.8063559007932579,0.388038755198862,0.08636155605874064,0.5120747740488167,0.05741434304002742,2.464011974756984,0.47679739258925785,0.24505105149956743,0.05741434304002742,0.023301162343454102,-1.4638206243710887,-1.3908160815204111,-1.2364641011702635,-0.9616891982694951
10,2,A,0.9999999999999998,1.254172317894659,1.6823398299392327,0.1727625954522329,0.8818213727475162,0.4599704674970623,0.3166041390439041,1.0277975660048049,1.6258970182709656,1.4523892344006035,0.8797714498608412,1.2567407196112015,0.8473456562226418,0.7417946002709572,0.5667674314309324,0.1727625954522329,0.10625678841329973,-0.5951913178909947,-0.5840853425979151,-0.5479732934085265,-0.43637340392231716
10,2,B,0.9999999999999997,1.254172317894659,1.6823398299392327,0.061473915232517905,1.0918761457752186,0.4599704674970623,0.3166041390439041,1.0277975660048049,0.9140185329425625,1.6274844940131141,0.9974266147826998,1.4962815315663645,0.8473456562226418,0.6724260209474141,0.3565314504144454,0.061473915232517905,0.03777235080190113,-0.7828299416219798,-0.7377643431991896,-0.6440577637385594,-0.4735355711703833
